Packet ID,Version,Number of TLVs,Number of Objects,Platform,Object ID,Doppler Index,Range Index,Peak Value,X,Y,Z,Range,Range Profile Index,Range Profile Value (dB),Inter Process,Transmit Out,Frame Margin,Chirp Margin,Active CPU Load,Inter CPU Load,Unidentified TLV Type
1462,0x2010004,3,13,0xa1443,,,,,,,,,,,,,,,,,
,,,,,0,0,2,2567,0.07421875,0.03515625,0.0,0.08212420328761187,,,,,,,,,
,,,,,1,0,19,1160,-0.607421875,0.484375,0.0,0.7769044180937033,,,,,,,,,
,,,,,2,0,45,160,-1.7265625,0.640625,0.0,1.841580423720683,,,,,,,,,
,,,,,3,0,141,1016,2.162109375,5.34765625,0.0,5.768201133596761,,,,,,,,,
,,,,,4,-7,25,1329,0.3828125,0.947265625,0.0,1.0216934836157519,,,,,,,,,
,,,,,5,-6,25,1494,0.3515625,0.9609375,0.0,1.0232287477942066,,,,,,,,,
,,,,,6,-3,24,1321,0.18359375,0.96484375,0.0,0.9821558567524429,,,,,,,,,
,,,,,7,-2,23,1132,0.705078125,0.623046875,0.0,0.940915814938181,,,,,,,,,
,,,,,8,-2,27,714,0.828125,0.73046875,0.0,1.1042534176318235,,,,,,,,,
,,,,,9,0,2,2532,-0.072265625,0.0390625,0.0,0.08214742517505114,,,,,,,,,
,,,,,10,-3,24,764,0.767578125,0.61328125,0.0,0.9824917656551011,,,,,,,,,
,,,,,11,-2,23,925,0.146484375,0.9296875,0.0,0.9411570112236272,,,,,,,,,
,,,,,12,-2,27,494,0.345703125,1.048828125,0.0,1.1043328693948131,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4
